agent_id,variant_prob,age
0,1.0,Adult
1,1.0,Adult
2,1.0,Adult
3,1.0,Adult
4,1.0,Adult
5,1.0,Adult
6,1.0,Adult
7,1.0,Adult
8,1.0,Adult
9,1.0,Adult
10,1.0,Adult
11,1.0,Adult
12,1.0,Adult
13,1.0,Adult
14,1.0,Adult
15,1.0,Adult
16,1.0,Adult
17,1.0,Adult
18,1.0,Adult
19,1.0,Adult
20,1.0,Adult
21,1.0,Adult
22,0.0,Adult
23,0.0,Adult
24,0.0,Adult
25,0.0,Adult
26,0.0,Adult
27,0.0,Adult
28,0.0,Adult
29,0.0,Adult
30,0.937,Child
31,0.934,Child
32,0.938,Child
33,0.93,Child
34,0.962,Child
35,0.934,Child
36,0.938,Child
37,0.952,Child
38,0.952,Child
39,0.951,Child
40,0.913,Child
41,0.948,Child
42,0.93,Child
43,0.949,Child
44,0.943,Child
45,0.935,Child
46,0.93,Child
47,0.927,Child
48,0.93,Child
49,0.952,Child
50,0.946,Child
51,0.939,Child
52,0.922,Child
53,0.937,Child
54,0.943,Child
55,0.899,Child
56,0.919,Child
57,0.921,Child
58,0.956,Child
59,0.937,Child
60,0.896,Child
61,0.948,Child
62,0.935,Child
63,0.921,Child
64,0.941,Child
65,0.906,Child
66,0.957,Child
67,0.908,Child
68,0.958,Child
69,0.92,Child
70,0.958,Child
71,0.945,Child
72,0.923,Child
73,0.928,Child
74,0.928,Child
75,0.945,Child
76,0.943,Child
77,0.942,Child
78,0.922,Child
79,0.931,Child
80,0.931,Child
81,0.942,Child
82,0.933,Child
83,0.934,Child
84,0.938,Child
85,0.928,Child
86,0.935,Child
87,0.954,Child
88,0.944,Child
89,0.954,Child
90,0.944,Child
91,0.942,Child
92,0.939,Child
93,0.935,Child
94,0.959,Child
95,0.962,Child
96,0.946,Child
97,0.937,Child
98,0.923,Child
99,0.922,Child
100,0.938,Child
101,0.931,Child
102,0.914,Child
103,0.916,Child
104,0.943,Child
105,0.944,Child
106,0.928,Child
107,0.895,Child
108,0.92,Child
109,0.951,Child
110,0.894,Child
111,0.92,Child
112,0.92,Child
113,0.958,Child
114,0.947,Child
115,0.925,Child
116,0.919,Child
117,0.959,Child
118,0.936,Child
119,0.947,Child
